2019-03-12 12:38:46-19:00,lamonthe,fluffy,AG36
2019-03-12 12:38:49-19:00,fluffy,lamonthe,Rocket
2019-03-12 12:39:11-19:00,fluffy,lamonthe,P90
2019-03-12 12:39:41-19:00,fluffy,lamonthe,P90
2019-03-12 12:39:46-19:00,fluffy,Reaper,P90
2019-03-12 12:40:04-19:00,lamonthe,Mike_Killah,AG36
2019-03-12 12:40:16-19:00,Scrap,Mike_Killah,Falcon
2019-03-12 12:40:19-19:00,lamonthe,Scrap,AG36Grenade
2019-03-12 12:40:28-19:00,lamonthe,Mike_Killah,AG36
2019-03-12 12:40:57-19:00,lamonthe,Scrap,AG36
2019-03-12 12:41:14-19:00,lamonthe,Scrap,AG36Grenade
2019-03-12 12:41:21-19:00,Mike_Killah,lamonthe,M4
2019-03-12 12:41:42-19:00,Mike_Killah,lamonthe,AG36Grenade
2019-03-12 12:41:45-19:00,Scrap,fluffy,M249
2019-03-12 12:42:09-19:00,lamonthe,Mike_Killah,Rocket
2019-03-12 12:42:15-19:00,Scrap,fluffy,MG
2019-03-12 12:42:18-19:00,Mike_Killah,lamonthe,AG36Grenade
2019-03-12 12:42:23-19:00,Refactorer,Mike_Killah,M249
2019-03-12 12:42:30-19:00,cyap,Refactorer,AG36
2019-03-12 12:42:37-19:00,cyap,Mike_Killah,AG36Grenade
2019-03-12 12:42:43-19:00,Scrap,lamonthe,MG
2019-03-12 12:42:44-19:00,fluffy,Scrap,AG36
2019-03-12 12:42:56-19:00,Reaper,fluffy,SniperRifle
2019-03-12 12:43:01-19:00,cyap,Scrap,AG36Grenade
2019-03-12 12:43:12-19:00,cyap,fluffy,AG36Grenade
2019-03-12 12:43:22-19:00,cyap,fluffy,AG36Grenade
2019-03-12 12:43:31-19:00,Mike_Killah,cyap,M4
2019-03-12 12:43:36-19:00,Scrap,lamonthe,M249
2019-03-12 12:43:41-19:00,fluffy,Reaper,OICW
2019-03-12 12:43:42-19:00,Refactorer,Mike_Killah,VehicleRocket
2019-03-12 12:43:48-19:00,Scrap,fluffy,MG
2019-03-12 12:43:56-19:00,Mike_Killah,Refactorer,M4
2019-03-12 12:43:58-19:00,Scrap,Reaper,MG
2019-03-12 12:43:59-19:00,fluffy,Scrap,Falcon
2019-03-12 12:44:07-19:00,Scrap,fluffy,Falcon
2019-03-12 12:44:08-19:00,Refactorer,Scrap,VehicleRocket
2019-03-12 12:44:08-19:00,lamonthe,cyap,Rocket
2019-03-12 12:44:11-19:00,Mike_Killah,cynthia,AG36Grenade
2019-03-12 12:44:14-19:00,Mike_Killah,fluffy,AG36Grenade
2019-03-12 12:44:18-19:00,lamonthe,cyap,Rocket
2019-03-12 12:44:18-19:00,Mike_Killah,Scrap,AG36Grenade
2019-03-12 12:44:23-19:00,Mike_Killah,fluffy,AG36Grenade
2019-03-12 12:44:24-19:00,cyap,cynthia,Machete
2019-03-12 12:44:26-19:00,Scrap,Mike_Killah,Falcon
2019-03-12 12:44:30-19:00,lamonthe,fluffy,Rocket
2019-03-12 12:44:30-19:00,lamonthe
2019-03-12 12:44:34-19:00,cynthia,Scrap,Falcon
2019-03-12 12:44:45-19:00,cynthia,fluffy,Falcon
2019-03-12 12:44:48-19:00,lamonthe
2019-03-12 12:44:49-19:00,Scrap,Mike_Killah,AG36
2019-03-12 12:44:50-19:00,Refactorer,Reaper,VehicleRocket
2019-03-12 12:44:58-19:00,fluffy,cyap,Machete
2019-03-12 12:45:00-19:00,lamonthe,cynthia,Machete
2019-03-12 12:45:03-19:00,cyap,Mike_Killah,Machete
2019-03-12 12:45:07-19:00,Refactorer,lamonthe,VehicleRocket
2019-03-12 12:45:09-19:00,Mike_Killah,Reaper,Machete
2019-03-12 12:45:19-19:00,Scrap,Reaper,AG36
2019-03-12 12:45:25-19:00,fluffy,Refactorer,M249
2019-03-12 12:45:27-19:00,cyap,Scrap,Shotgun
2019-03-12 12:45:36-19:00,fluffy,Mike_Killah,M249
2019-03-12 12:45:42-19:00,fluffy,Scrap,M249
2019-03-12 12:45:43-19:00,lamonthe
2019-03-12 12:45:43-19:00,lamonthe,Refactorer,OICWGrenade
2019-03-12 12:45:49-19:00,Mike_Killah,Reaper,Rocket
2019-03-12 12:45:53-19:00,cyap,Scrap,AG36
2019-03-12 12:45:58-19:00,lamonthe,Reaper,MG
2019-03-12 12:45:59-19:00,Refactorer,lamonthe,P90
2019-03-12 12:46:04-19:00,Scrap,Refactorer,Falcon
2019-03-12 12:46:06-19:00,Mike_Killah,cyap,Rocket
2019-03-12 12:46:08-19:00,fluffy,Mike_Killah,M249
2019-03-12 12:46:12-19:00,Scrap,Refactorer,MG
2019-03-12 12:46:14-19:00,Reaper,cyap,Falcon
2019-03-12 12:46:15-19:00,fluffy,cynthia,M249
2019-03-12 12:46:20-19:00,Reaper,cyap,Falcon
2019-03-12 12:46:20-19:00,fluffy,Mike_Killah,M249
2019-03-12 12:46:29-19:00,Mike_Killah,Refactorer,Machete
2019-03-12 12:46:34-19:00,Scrap,Mike_Killah,MG
2019-03-12 12:46:35-19:00,Reaper,lamonthe,M4
2019-03-12 12:46:35-19:00,lamonthe,Refactorer,Rocket
2019-03-12 12:46:35-19:00,lamonthe,Reaper,Rocket
2019-03-12 12:46:42-19:00,Refactorer,cynthia,Machete
2019-03-12 12:46:42-19:00,Mike_Killah,Scrap,M4
2019-03-12 12:46:48-19:00,Reaper,Scrap,Falcon
2019-03-12 12:46:49-19:00,fluffy,Reaper,M249
2019-03-12 12:46:49-19:00,cyap,cynthia,M4
2019-03-12 12:46:51-19:00,lamonthe,Refactorer,AG36
2019-03-12 12:46:55-19:00,Mike_Killah,fluffy,MG
2019-03-12 12:46:56-19:00,lamonthe,Mike_Killah,AG36
2019-03-12 12:47:03-19:00,Refactorer,Scrap,Falcon
2019-03-12 12:47:05-19:00,Reaper,cynthia,Falcon
2019-03-12 12:47:14-19:00,cyap,Scrap,AG36Grenade
2019-03-12 12:47:14-19:00,cyap,Refactorer,AG36Grenade
2019-03-12 12:47:18-19:00,Scrap,lamonthe,Falcon
2019-03-12 12:47:22-19:00,cyap,Scrap,AG36
2019-03-12 12:47:25-19:00,Refactorer,fluffy,OICWGrenade
2019-03-12 12:47:30-19:00,lamonthe,Reaper,Machete
2019-03-12 12:47:35-19:00,Scrap,cyap,M4
2019-03-12 12:47:37-19:00,Mike_Killah,fluffy,MG
2019-03-12 12:47:39-19:00,Mike_Killah,Reaper,MG
2019-03-12 12:47:42-19:00,Scrap,cynthia,M4
